"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"574","Don't Be Shy","Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,"566954746",171,51,"187",1,"21",120,"B","Minor",77,51,79,20,0,26,6,"Not Found"
"638","Permission to Dance","BTS",1,2021,7,9,1801,2,"608334048",77,134,"74",0,"2",125,"A","Major",70,65,74,1,0,34,4,"https://i.scdn.co/image/ab67616d0000b273a7e481899b7e0396f93d10b8"
"608","2055","Sleepy hallow",1,2021,4,14,2226,0,"624515457",29,0,"44",0,"0",161,"F#","Minor",78,65,52,46,0,12,31,"https://i.scdn.co/image/ab67616d0000b27378376f650afd63698b82e4b1"
"907","Ferxxo 100","Feid",1,2022,6,3,1647,30,"278920007",20,49,"23",2,"2",164,"G#","Minor",70,58,57,25,0,15,7,"https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb"
"123","Nonsense","Sabrina Carpenter",1,2022,7,15,2346,27,"342897938",69,12,"38",8,"64",139,"G#","Major",74,68,68,3,0,26,4,"https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf"
"540","Oh My God","Adele",1,2021,11,19,4431,0,"466214729",105,7,"199",0,"0",88,"C#","Major",53,55,73,9,0,3,5,"https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7"
"654","The Next Episode","Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,"843309044",142,40,"5,451",1,"953",95,"D#","Minor",92,31,89,3,0,8,25,"https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5"
"901","Forget Me","Lewis Capaldi",1,2022,9,9,2520,4,"239411309",93,95,"84",9,"202",102,"C#","Minor",67,72,74,30,0,36,4,"https://i.scdn.co/image/ab67616d0000b2737cdf9838412bb52df6e9a952"
"873","Last Last","Burna Boy",1,2022,5,12,4526,12,"293466523",156,275,"150",3,"128",88,"D#","Minor",80,55,56,13,0,8,9,"https://i.scdn.co/image/ab67616d0000b27312ebde47882280b814275600"
"652","Boyfriend","Dove Cameron",1,2022,2,11,3766,0,"496311364",76,0,"102",0,"2",180,"G","Minor",35,23,61,23,0,19,6,"https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc"
"673","HUMBLE.","Kendrick Lamar",1,2017,3,30,33206,1,"1929770265",284,114,"1,481",0,"5",150,"C#","Minor",91,42,60,0,0,9,12,"https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699"
"50","Die For You - Remix","Ariana Grande, The Weeknd",2,2023,2,24,3408,47,"518745108",87,86,"74",1,"16",67,"C#","Minor",53,50,53,23,0,44,7,"Not Found"
"131","Queencard","(G)I-DLE",1,2023,5,15,451,33,"96273746",10,126,"7",0,"148",130,"E","Minor",82,69,83,3,0,27,5,"https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616"
"101","Lover","Taylor Swift",1,2012,1,1,8448,23,"882831184",160,110,"163",0,"5",206,"G","Major",43,50,55,50,0,15,10,"https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647"
"525","THATS WHAT I WANT","Lil Nas X",1,2021,9,17,7963,0,"920797189",173,7,"298",0,"4",88,"C#","Minor",74,55,85,1,0,5,22,"https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd"
"348","Man Made A Bar (feat. Eric Church)","Morgan Wallen, Eric Church",2,2023,3,3,329,0,"58890931",14,35,"1",0,"0",148,"E","Major",50,49,76,12,0,12,3,"https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9"
"67","Karma","Taylor Swift",1,2022,10,21,3818,23,"404562836",37,55,"32",0,"272",90,"G#","Major",64,10,62,7,0,48,7,"https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5"
"888","ALIEN SUPERSTAR","Beyoncï¿",1,2022,7,29,2688,0,"171788484",39,47,"36",0,"0",122,"A#","Minor",55,46,64,0,0,17,10,"Not Found"
"498","Far","SZA",1,2022,12,9,680,0,"51641685",2,15,"1",0,"0",116,"D","Major",61,48,55,67,0,16,8,"https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1"
"465","Special","SZA",1,2022,12,9,906,0,"88092256",6,21,"3",0,"0",76,"","Major",60,19,20,78,0,11,5,"https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1"
"58","La Bachata","Manuel Turizo",1,2022,5,26,6804,45,"1214083358",139,111,"161",15,"210",125,"G","Minor",84,85,68,58,0,22,4,"https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a"
"624","All of Me","John Legend",1,2013,8,1,27221,0,"2086124197",308,118,"4,534",2,"77",120,"G#","Major",42,33,26,92,0,13,3,"https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78"
"70","Enchanted (Taylor's Version)","Taylor Swift",1,2023,7,7,148,24,"39578178",32,93,"8",2,"5",82,"G#","Major",51,22,53,1,0,15,3,"https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481"
"751","Falling","Harry Styles",1,2019,12,13,7556,0,"1023187129",124,24,"254",0,"8",110,"E","Major",57,6,27,84,0,9,3,"https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a"
